Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Price,5D_ReturnPct,10D_ReturnPct,20D_ReturnPct,50D_ReturnPct,200D_ReturnPct,200D_ReturnPct_Percentile,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA5,PriceVsMA5Pct,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
1,STAK,Energy,Oil & Gas Equipment & Services,NASDAQ,537.19,99.0,423.92,98.97,228.75,96.42,182.37,95.01,146.01,90.96,22.22,2.37,5.5,-2.65,189.47,366.1,362.18,444.55,98.58,148303890.24950838,19210349.0,0.37240002,-42.11,359541,0.09,6.95,-20.86,5.83,-5.66,3.38,62.72,2.03,170.94,34.08,45.3,4879124,4061068,3090502,0.134
2,AGL,Healthcare,Medical Care Facilities,NYSE,489.11,98.98,302.1,98.88,338.79,98.46,505.1,98.95,36.55,5.39,37.86,5.57,113.27,10.88,30.57,30.5,711.39,256.76,97.41,1883766338.3578491,16683786.0,0.060700003,-4.21,239528,0.51,111.68,1.42,103.07,9.9,94.81,19.47,60.54,87.1,7.98,56.19,260922,465697,443928,-0.073
3,MXL,Technology,Semiconductors,NASDAQ,472.22,98.97,172.87,98.14,495.98,98.9,501.3,98.93,105.67,69.46,104.83,71.84,84.39,16.22,-4.92,-3.51,357.4,403.52,98.52,7563051615.158226,89545959.0,0.045500003,-20.6,2402447,0.5,82.13,2.75,82.9,1.8,89.04,-5.22,69.23,21.9,12.38,1.96,3700534,4786754,5408036,0.43
4,JLHL,Industrials,Building Products & Equipment,NASDAQ,471.47,98.95,164.58,97.98,408.08,98.71,440.08,98.87,131.32,86.75,78.85,26.94,23.95,-16.26,7.02,4.13,308.01,477.11,98.67,514767168.0,21448632.0,0.0115,-58.67,41099,0.95,23.88,0.29,30.66,-21.89,25.99,-7.85,18.08,32.47,43.81,49.94,46039,43409,124877,0.854
5,WDC,Technology,Computer Hardware,NASDAQ,465.39,98.93,146.27,97.27,436.5,98.82,374.1,98.7,341.47,98.43,251.54,97.56,681.08,31.55,20.98,48.53,123.99,732.43,98.93,194031909479.30267,344682131.0,0.1043,13.03,15704479,2.15,583.38,16.75,564.26,20.7,533.95,27.56,463.73,46.87,6.61,30.51,8067407,7307849,7385973,0.455
6,BW,Industrials,Specialty Industrial Machinery,NYSE,455.83,98.92,93.52,30.89,619.15,98.98,812.91,99.0,838.23,98.97,305.36,98.14,16.63,7.36,-7.82,-17.47,-0.72,711.22,98.91,2393339647.124445,148839531.0,0.0753,-24.51,2437597,0.66,15.91,4.53,16.36,1.65,17.8,-6.57,17.29,-3.82,9.27,44.1,2407159,3678629,3399969,0.443
7,OPTX,Technology,Electronic Components,NASDAQ,444.74,98.9,119.99,92.74,494.29,98.88,251.5,97.46,442.85,98.7,110.74,77.23,11.38,-2.15,-13.98,73.74,24.92,602.47,98.88,533708383.5,40279878.0,0.1659,-23.73,3555872,2.65,12.75,-10.75,12.44,-8.52,11.32,0.53,9.84,15.65,16.92,3.56,1230347,1343839,1378087,-0.079
8,AAOI,Technology,Communication Equipment,NASDAQ,437.0,98.88,107.63,81.22,571.98,98.97,562.55,98.98,326.37,98.33,132.57,87.94,170.81,4.87,-15.6,-1.41,58.97,570.11,98.84,13565040006.231491,80242767.0,0.12979999,-26.9,13010608,0.96,175.86,-2.87,180.28,-5.25,178.28,-4.19,168.26,1.52,15.45,3.56,15797890,13561996,12623510,0.514
9,TDIC,Communication Services,Advertising Agencies,NASDAQ,432.45,98.87,1249.76,98.98,19.45,1.85,35.14,4.75,26.49,3.24,4.48,0.22,7.6,-22.45,1943.01,976.49,1156.2,-60.07,10.07,8668625.070867538,1509556.0,0.0047,-99.23,17753753,0.76,7.12,6.74,5.89,29.03,3.06,148.37,2.31,229.0,41.02,14.63,6139986,23280118,15690184,0.289
10,BNAI,Technology,Software - Infrastructure,NASDAQ,429.26,98.85,105.25,75.74,217.26,96.08,373.04,98.68,1654.67,99.0,39.31,5.96,21.97,14.55,48.35,4.82,-50.09,599.68,98.86,139249212.05853462,6516107.0,0.115200005,-74.54,412427,0.57,20.77,5.78,19.35,13.54,18.39,19.47,26.5,-17.09,18.61,79.72,1559752,726440,725002,9.431
