Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Price,5D_ReturnPct,10D_ReturnPct,20D_ReturnPct,50D_ReturnPct,200D_ReturnPct,200D_ReturnPct_Percentile,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA5,PriceVsMA5Pct,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
1,PSIG,Industrials,Integrated Freight & Logistics,NASDAQ,569.58,99.0,281.07,98.78,219.7,98.0,277.86,98.57,219.62,96.27,149.08,90.16,4.6,20.1,157.7,134.69,300.0,793.2,98.98,63830412.76682949,15380822.0,0.0004,-61.67,3000100,2.65,4.38,5.02,3.67,25.34,2.71,69.74,1.93,138.34,11.41,66.71,2297170,1132260,706428,-0.373
2,SNDK,Technology,Computer Hardware,NASDAQ,523.22,98.98,104.63,85.26,639.33,99.0,769.68,99.0,1506.6,99.0,789.04,98.9,1753.62,8.62,3.61,16.96,8.58,667.55,98.97,262356486507.5182,146419001.0,0.0643,-25.52,8186500,0.68,1803.14,-2.75,1686.63,3.97,1642.01,6.8,1509.42,16.18,6.17,25.17,9880840,12058083,13849714,3.716
3,MPU,Communication Services,Entertainment,NYSE ARCA,459.88,98.97,1341.7,98.98,38.9,6.01,24.9,2.99,28.78,3.04,75.26,23.05,2.88,-11.11,1415.79,1271.43,1052.0,150.43,97.18,10709871.174245358,3399959.0,0.0164,-25.77,7300,0.05,2.94,-2.04,1.87,54.01,1.0,188.0,0.55,423.64,13.1,21.21,71240,153786,191796,-0.492
4,SVRN,Industrials,Marine Shipping,NASDAQ,449.05,98.95,469.66,98.9,85.49,32.99,55.38,10.17,51.75,9.12,18.41,1.76,42.23,260.94,263.43,408.18,425.25,50.82,88.08,38116580.54754639,1875816.0,0.0022,-11.21,495600,3.87,27.76,52.13,19.59,115.57,14.37,193.88,10.07,319.36,10.59,232.2,273990,127946,81674,-0.374
5,ANL,Healthcare,Biotechnology,NASDAQ,437.85,98.93,116.66,93.75,540.57,98.98,407.89,98.92,424.39,98.75,474.67,98.72,15.83,2.0,7.72,15.21,72.07,1219.17,99.0,1013623529.3804817,64397938.0,0.0708,-8.23,144300,0.88,15.63,1.28,15.49,2.19,14.93,6.03,13.78,14.88,7.35,97.1,181770,163983,184198,
6,TNMG,Communication Services,Publishing,NASDAQ,437.73,98.92,698.55,98.97,241.8,98.35,23.56,2.79,14.92,1.08,39.1,5.81,5.01,74.56,46.06,1158.79,1218.42,-8.91,38.98,23547327.773674965,6084581.0,0.0067000003,-59.2,1153400,0.14,4.09,22.49,3.6,39.17,2.11,137.44,1.12,347.32,18.82,89.0,4328660,8326186,11073210,0.057
7,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,434.83,98.9,109.07,89.6,480.8,98.97,606.17,98.98,985.98,98.98,1492.67,99.0,75.9,12.03,17.31,16.45,42.08,555.44,98.9,4592091956.314575,65573212.0,0.1464,-46.98,7558600,0.82,75.33,0.76,68.82,10.29,65.41,16.04,64.77,17.18,8.37,99.17,9125990,9167003,10338034,1.648
8,MRNA,Healthcare,Biotechnology,NASDAQ,410.38,98.88,204.83,98.62,336.92,98.85,389.12,98.87,179.25,94.4,161.58,92.55,194.82,23.25,42.6,30.18,185.33,603.32,98.95,61498293661.143265,399235889.0,0.119799994,10.28,16549200,0.59,177.29,9.89,162.46,19.92,152.73,27.56,107.4,81.4,6.13,120.79,16235290,27975256,18899172,0.021
9,BURU,Industrials,Specialty Industrial Machinery,NYSE ARCA,381.44,98.87,2039.69,99.0,12.16,1.5,9.96,0.95,41.93,5.87,17.43,1.63,1.04,10.64,2500.0,2500.0,732.0,-0.95,48.84,9540215.085002184,9262345.0,0.1339,-46.67,1131900,0.31,1.04,0.0,0.98,6.12,0.49,112.24,0.25,316.0,21.42,44.89,2771990,3710133,12414720,
10,RFAIU,Financial Services,Shell Companies,NASDAQ,378.02,98.85,220.87,98.67,393.6,98.95,442.32,98.97,89.62,45.92,98.95,53.66,46.5,-1.08,-1.08,-12.16,320.05,328.57,98.67,,,0.06,-12.16,0,0.0,46.39,0.24,46.7,-0.43,47.15,-1.38,27.85,66.97,2.04,0.0,330,250,160,
11,TXG,Healthcare,Medical Devices,NASDAQ,364.68,98.83,151.42,97.92,304.67,98.78,299.43,98.68,214.59,96.04,169.56,93.53,84.11,15.73,25.0,29.96,83.69,363.42,98.78,9980303269.991455,130291168.0,0.18190001,5.22,4089200,1.43,78.48,7.17,74.45,12.98,68.7,22.43,58.84,42.95,6.08,185.95,3064430,2851016,2998370,-0.127
12,TWST,Healthcare,Biotechnology,NASDAQ,348.06,98.82,152.62,97.99,277.99,98.7,337.71,98.8,242.0,96.86,143.94,88.81,184.03,28.63,46.61,21.54,98.89,460.9,98.88,11071633410.463226,66301174.0,0.22950001,10.16,3529400,1.95,166.18,10.74,150.09,22.61,143.14,28.57,123.01,49.61,6.09,242.75,2223750,1810423,1710502,0.232
13,BUUU,Industrials,Specialty Business Services,NASDAQ,340.94,98.8,149.09,97.84,340.09,98.87,242.71,98.14,228.14,96.47,291.09,98.0,45.92,-0.21,19.91,57.24,140.39,440.18,98.86,771218750.0,16675000.0,0.0019,-4.55,102600,1.28,46.19,-0.58,43.85,4.72,37.54,22.32,30.32,51.45,10.62,36.09,59220,80310,79020,0.123
14,WCT,Technology,Software - Application,NASDAQ,320.47,98.78,525.99,98.93,247.55,98.4,21.08,2.39,20.33,1.84,25.25,2.63,7.75,0.65,11.67,742.39,659.8,-31.42,22.73,436889132.70187473,56155414.0,0.0022,-69.0,3679600,1.56,7.74,0.13,7.54,2.79,4.45,74.16,2.41,221.58,13.04,29.69,1112690,2365020,1454166,-0.879
15,IOVA,Healthcare,Biotechnology,NASDAQ,302.26,98.77,159.56,98.2,239.2,98.34,225.46,97.8,141.64,89.54,139.5,87.67,10.8,7.78,32.68,33.66,127.85,390.91,98.81,4642957178.0,452971432.0,0.20809999,-1.64,11908900,0.77,10.41,3.75,9.92,8.87,9.11,18.55,7.29,48.15,5.48,109.77,16829420,15384723,16794272,0.657
16,IGR,Financial Services,Asset Management,NYSE,298.97,98.75,199.08,98.58,328.89,98.82,115.72,80.2,113.61,77.91,112.99,73.92,11.94,-1.49,-6.36,160.57,184.59,277.88,98.43,624743590.6972275,50586524.0,2.27,-10.29,402163,0.89,12.11,-1.4,12.21,-2.21,8.57,39.32,6.17,93.52,6.72,11.84,389486,451862,472669,-0.231
17,QMCO,Technology,Computer Hardware,NASDAQ,294.52,98.73,148.09,97.79,250.52,98.47,277.22,98.55,169.76,93.88,56.9,11.78,29.49,23.75,21.66,31.71,193.14,237.41,98.26,988796931.1034889,39410001.0,0.0465,6.08,5210300,3.04,26.32,12.04,24.81,18.86,24.22,21.76,18.92,55.87,7.75,192.12,1767830,1711666,1720950,0.257
18,MXL,Technology,Semiconductors,NASDAQ,294.28,98.72,117.88,94.2,260.71,98.6,249.47,98.24,591.63,98.95,113.61,74.55,85.31,22.73,19.3,28.56,-7.86,365.92,98.79,7357031903.016289,90693191.0,0.069299996,-33.51,4245200,1.68,82.34,3.61,75.71,12.68,69.02,23.6,71.08,20.02,7.07,93.22,3068220,2526150,3121946,0.552
