Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Price,5D_ReturnPct,10D_ReturnPct,20D_ReturnPct,50D_ReturnPct,200D_ReturnPct,200D_ReturnPct_Percentile,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA5,PriceVsMA5Pct,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
1,BBGI,Communication Services,Broadcasting,NASDAQ,582.81,99.0,252.05,98.85,412.26,98.81,316.72,98.06,65.91,16.99,81.52,31.02,26.5,11.49,12.57,67.09,93.15,448.65,98.58,43021086.12850189,1809890.0,0.105100006,0.49,22584,0.61,24.52,8.08,22.51,17.73,21.0,26.19,19.09,38.82,10.29,75.15,48398,36909,94213,-0.129
2,MXL,Technology,Semiconductors,NASDAQ,521.59,98.98,198.48,98.65,445.29,98.9,550.02,98.97,114.74,74.86,111.99,78.86,96.6,8.83,19.13,-1.19,338.89,500.75,98.72,7948099512.130806,89545959.0,0.045500003,-9.11,7470681,1.7,92.32,4.64,89.08,8.44,87.04,10.98,79.04,22.22,9.51,103.09,3443618,4390752,5775181,0.43
3,ERAS,Healthcare,Biotechnology,NASDAQ,498.52,98.97,121.35,90.3,426.95,98.85,423.24,98.83,786.84,98.95,176.08,94.59,16.01,17.12,14.28,31.23,-12.03,894.41,98.98,4251158712.8662376,310984542.0,0.115,-34.06,14675427,2.7,15.23,5.12,14.57,9.88,13.81,15.93,13.56,18.07,6.84,115.11,6127662,5438224,7204980,
4,STAK,Energy,Oil & Gas Equipment & Services,NASDAQ,485.81,98.95,228.34,98.8,858.52,99.0,133.66,87.81,143.19,88.62,22.83,2.66,4.27,-26.76,-47.41,344.79,355.22,443.26,98.55,111996333.20436668,19210349.0,0.37240002,-55.05,279204,0.08,4.12,3.64,5.13,-16.76,4.54,-5.95,2.53,68.77,38.02,25.87,467690,3303840,3080684,0.134
5,LESL,Consumer Cyclical,Specialty Retail,NASDAQ,475.16,98.93,409.45,98.92,320.08,98.46,177.96,94.26,33.7,4.43,19.04,1.96,9.59,4.58,20.78,118.45,543.62,42.28,81.49,85826138.87406921,9359448.0,0.1689,-29.28,429450,0.21,9.26,3.56,8.53,12.43,6.92,38.58,4.17,129.98,16.08,61.6,375205,2056615,1310769,0.043
6,MU,Technology,Semiconductors,NASDAQ,466.46,98.92,159.47,97.79,416.55,98.83,449.15,98.88,215.52,96.71,249.27,97.67,1132.33,-0.15,13.7,22.61,148.19,738.49,98.95,1278839125480.4622,1127734051.0,0.0334,-1.49,84431604,1.49,1131.51,0.07,1092.51,3.64,1030.08,9.93,802.14,41.16,9.47,10.05,59186370,56665950,52474684,1.963
7,RXT,Technology,Software - Infrastructure,NASDAQ,463.23,98.9,189.61,98.51,319.94,98.44,309.62,98.01,78.63,25.92,54.93,11.76,5.98,-17.17,6.79,23.3,386.18,324.11,97.94,1799386390.4910388,249222499.0,0.13350001,-30.47,13915646,0.58,6.65,-10.08,6.56,-8.84,5.83,2.57,4.36,37.16,17.35,25.95,28360374,23936751,26541726,0.019
8,BNAI,Technology,Software - Infrastructure,NASDAQ,448.73,98.88,80.84,9.61,365.27,98.66,285.35,97.72,1346.23,99.0,68.8,18.76,18.23,-8.99,-14.09,15.53,-67.99,489.97,98.71,130517627.6842556,6516107.0,0.115200005,-78.87,1098695,1.52,18.93,-3.7,19.75,-7.7,18.47,-1.3,22.63,-19.44,16.47,57.95,394449,724819,690859,9.431
9,SLS,Healthcare,Biotechnology,NASDAQ,418.96,98.87,178.24,98.33,283.31,98.14,345.13,98.48,217.53,96.78,263.33,97.84,12.39,53.91,59.87,34.97,152.34,566.13,98.86,1582892258.204687,196632574.0,0.32930002,30.28,20752482,2.03,9.94,24.65,8.86,39.84,8.6,44.07,7.02,76.5,6.81,245.38,8943808,10205679,8481101,
10,BW,Industrials,Specialty Industrial Machinery,NYSE,417.63,98.85,85.02,13.78,438.89,98.88,754.23,99.0,919.79,98.98,543.87,98.85,14.45,-16.86,-8.89,-24.66,-21.25,618.91,98.9,2586830923.8688946,148839531.0,0.0753,-34.41,3682997,1.05,15.48,-6.65,16.1,-10.25,16.58,-12.85,17.05,-15.25,9.2,43.64,3023619,3504469,3494567,0.443
